Provinsi,Tanggal,Penderita,Sembuh,Kematian
KTOM,10/05/2020,120,15,12
KTOM,09/05/2020,65,12,15
STEI ITB,08/05/2020,12,3,28
Par,08/05/2020,4,3,2
Tibis,08/05/2020,5,2,1
Girintili,08/05/2020,20,1,2
Salting,07/05/2020,50,1,5
DE Impact,07/05/2020,5,1,2
Daspro,07/05/2020,25,2,2
Kekaosan,07/05/2020,30,3,1
Rebeel,07/05/2020,34,1,1
Kekaosan,06/05/2020,12,0,1
Daspro,06/05/2020,10,0,2
DE Impact,06/05/2020,3,0,0
Salting,05/05/2020,5,0,0
Rebeel,05/05/2020,9,0,0
KTOM,05/05/2020,10,0,0
STEI ITB,05/05/2020,5,0,2
Par,05/05/2020,8,0,0
Girintili,05/05/2020,2,0,1
Tibis,05/05/2020,3,0,1
KTOM,11/05/2020,150,20,10
DE Impact,10/05/2020,50,9,15
Salting,08/05/2020,192,19,23
